file,character,level,damage,maxhp,gain
ryqenz_zomdaya_uw_2h_092326.txt,Zomd Aya,13,18,859,3
ryqenz_zomdaya_uw_2h_092326.txt,Zomd Aya,13,16,859,3
ryqenz_zomdaya_uw_2h_092326.txt,Zomd Aya,13,22,859,4
ryqenz_zomdaya_uw_2h_092326.txt,Zomd Aya,13,19,859,3
ryqenz_zomdaya_uw_2h_092326.txt,Zomd Aya,13,20,859,3
ryqenz_zomdaya_uw_2h_092326.txt,Zomd Aya,13,22,859,4
ryqenz_zomdaya_uw_2h_092326.txt,Zomd Aya,13,22,859,83
ryqenz_zomdaya_uw_2h_092326.txt,Zomd Aya,13,20,859,3
ryqenz_zomdaya_uw_2h_092326.txt,Zomd Aya,13,20,859,3
ryqenz_zomdaya_uw_2h_092326.txt,Zomd Aya,13,18,859,2
ryqenz_zomdaya_uw_2h_092326.txt,Zomd Aya,13,18,859,3
ryqenz_zomdaya_uw_2h_092326.txt,Zomd Aya,13,21,859,4
ryqenz_zomdaya_uw_2h_092326.txt,Zomd Aya,13,21,859,3
ryqenz_zomdaya_uw_2h_092326.txt,Zomd Aya,13,18,859,83
ryqenz_zomdaya_uw_2h_092326.txt,Zomd Aya,13,20,859,4
ryqenz_zomdaya_uw_2h_092326.txt,Zomd Aya,13,14,859,2
ryqenz_zomdaya_uw_2h_092326.txt,Zomd Aya,13,13,859,2
ryqenz_zomdaya_uw_2h_092326.txt,Zomd Aya,13,15,859,83
ryqenz_zomdaya_uw_2h_092326.txt,Zomd Aya,13,15,859,2
ryqenz_zomdaya_uw_2h_092326.txt,Zomd Aya,13,15,859,3
ryqenz_zomdaya_uw_2h_092326.txt,Zomd Aya,13,18,859,3
ryqenz_zomdaya_uw_2h_092326.txt,Zomd Aya,13,21,859,3
ryqenz_zomdaya_uw_2h_092326.txt,Zomd Aya,13,13,859,82
ryqenz_zomdaya_uw_2h_092326.txt,Zomd Aya,13,17,859,2
ryqenz_zomdaya_uw_2h_092326.txt,Zomd Aya,13,20,859,3
ryqenz_zomdaya_uw_2h_092326.txt,Zomd Aya,13,18,859,83
ryqenz_zomdaya_uw_2h_092326.txt,Zomd Aya,13,20,859,3
ryqenz_zomdaya_uw_2h_092326.txt,Zomd Aya,13,20,859,4
ryqenz_zomdaya_uw_2h_092326.txt,Zomd Aya,13,19,859,83
ryqenz_zomdaya_uw_2h_092326.txt,Zomd Aya,13,21,859,3
